Date,Data Usage (GB)
Nov 17,17.0
Nov 18,13.0
Nov 19,6.9
Nov 20,12.0
Nov 21,10.0
Nov 22,6.6
Nov 23,17.0
Nov 24,23.0
Nov 25,13.0
Nov 26,19.0
Nov 27,14.0
Nov 28,16.0
Nov 29,11.0
Nov 30,22.0
Dec 1,12.0
Dec 2,14.0
Dec 3,15.0
Dec 4,13.0
Dec 5,15.0
Dec 6,19.0
Dec 7,20.0
Dec 8,14.0
Dec 9,10.0
Dec 10,14.0
Dec 11,9.8
Dec 12,14.0
Dec 13,22.0
Dec 14,45.0
Dec 15,33.0
Dec 16,9.9
Dec 17,19.0
Dec 18,22.0
Dec 19,14.0
Dec 20,14.0
Dec 21,25.0
Dec 22,17.0
Dec 23,20.0
Dec 24,19.0
Dec 25,12.0
Dec 26,26.0
Dec 27,23.0
Dec 28,20.0
Dec 29,20.0
Dec 30,35.0
Dec 31,24.0
Jan 1,16.0
Jan 2,18.0
Jan 3,34.0
Jan 4,26.0
Jan 5,21.0
Jan 6,21.0
Jan 7,8.1
Jan 8,20.0
Jan 9,14.0
Jan 10,16.0
Jan 11,9.0
Jan 12,7.1
Jan 13,11.0
Jan 14,8.3
Jan 15,6.4
Jan 16,2.5
Jan 17,12.0
Jan 18,5.9
Jan 19,7.4
Jan 20,7.3
Jan 21,6.5
Jan 22,14.0
Jan 23,8.7
Jan 24,12.0
Jan 25,13.0
Jan 26,7.9
Jan 27,12.0
Jan 28,5.9
Jan 29,7.1
Jan 30,8.8
Jan 31,14.0
Feb 1,4.6
Feb 2,6.9
Feb 3,5.7
Feb 4,4.4
Feb 5,4.0
Feb 6,3.0
Feb 7,9.1
Feb 8,2.4
Feb 9,0.9
Feb 10,1.2
Feb 11,7.8
Feb 12,4.1
Feb 13,8.8
Feb 14,4.2
Feb 15,2.4
Feb 16,4.3
Feb 17,2.6
Feb 18,7.1
Feb 19,3.9
Feb 20,5.0
Feb 21,2.1
Feb 22,5.0
Feb 23,1.9
Feb 24,5.1
Feb 25,3.4
Feb 26,3.0
Feb 27,4.0
Feb 28,3.9
Mar 1,2.5
Mar 2,6.7
Mar 3,2.3
Mar 4,2.4
Mar 5,4.6
Mar 6,2.2
Mar 7,3.5
Mar 8,2.8
Mar 9,3.2
Mar 10,2.2
Mar 11,1.3
Mar 12,1.9
Mar 13,3.5
Mar 14,0.9
Mar 15,1.9
Mar 16,2.5
Mar 17,5.8
Mar 18,5.5
Mar 19,6.0
Mar 20,2.6
Mar 21,7.5
Mar 22,13.0
Mar 23,12.0
Mar 24,8.7
Mar 25,15.0
Mar 26,11.0
Mar 27,15.0
Mar 28,7.1
Mar 29,16.0
Mar 30,14.0
Mar 31,15.0
Apr 1,30.0
Apr 2,19.0
Apr 3,23.0
Apr 4,26.0
Apr 5,26.0
Apr 6,33.0
Apr 7,21.0
Apr 8,17.0
Apr 9,17.0
Apr 10,13.0
Apr 11,4.6
Apr 12,10.0
Apr 13,16.0
Apr 14,14.0
Apr 15,17.0
Apr 16,12.0
Apr 17,23.0
Apr 18,19.0
Apr 19,9.4
Apr 20,16.0
Apr 21,14.0
Apr 22,17.0
Apr 23,16.0
Apr 24,20.0
Apr 25,16.0
Apr 26,21.0
Apr 27,12.0
Apr 28,13.0
Apr 29,14.0
Apr 30,9.6
May 1,12.0
May 2,15.0
May 3,13.0
May 4,13.0
May 5,7.1
May 6,8.5
May 7,19.0
May 8,15.0
May 9,14.0
May 10,4.9
May 11,17.0
May 12,22.0
May 13,21.0
May 14,5.9
May 15,22.0
May 16,29.0
May 17,45.0
May 18,9.8
May 19,16.0
May 20,18.0
May 21,24.0
May 22,31.0
May 23,18.0
May 24,22.0
May 25,8.0
May 26,9.3
May 27,16.0
May 28,21.0
May 29,25.0
May 30,32.0
May 31,13.0
Jun 1,16.0
Jun 2,35.0
Jun 3,17.0
